Timestamp,ForwardX,ForwardY,ForwardZ,EulerAngleX,EulerAngleY,EulerAngleZ
0.0000,0.110126,0.406777,0.906866,335.997500,6.923836,355.410700
0.0200,0.110126,0.406777,0.906866,335.997500,6.923836,355.410700
0.3533,0.111075,0.414650,0.903177,335.502700,7.011161,355.528700
0.5399,-0.067109,-0.162612,0.984405,9.358540,356.100000,8.541247
0.6213,0.406470,-0.022677,0.913383,1.299402,23.989850,24.644010
0.6490,0.487203,-0.029279,0.872798,1.677788,29.170610,25.440150
0.6628,0.497560,-0.045360,0.866243,2.599841,29.872590,25.132870
0.6774,0.495317,-0.050430,0.867248,2.890625,29.732250,24.997410
0.6916,0.493173,-0.056274,0.868109,3.225982,29.600940,25.016000
0.7059,0.492594,-0.061640,0.868073,3.533966,29.573050,25.013810
0.7186,0.492230,-0.067571,0.867839,3.874486,29.561470,24.954460
0.7333,0.491175,-0.071529,0.868119,4.101804,29.500850,24.670520
0.7472,0.489233,-0.073144,0.869080,4.194600,29.376570,24.495380
0.7591,0.483186,-0.070511,0.872674,4.043340,28.972600,24.371970
0.7725,0.477782,-0.067821,0.875856,3.888867,28.612610,24.298990
0.7866,0.471584,-0.064610,0.879451,3.704470,28.201340,24.319960
0.8011,0.468016,-0.064360,0.881373,3.690116,27.968640,24.267220
0.8175,0.464468,-0.065106,0.883194,3.732927,27.739690,24.149350
0.8294,0.462078,-0.065306,0.884432,3.744398,27.585160,24.013290
0.8448,0.460544,-0.065370,0.885226,3.748111,27.485980,23.874360
0.8563,0.460044,-0.062345,0.885705,3.574415,27.447820,23.742250
0.8724,0.459774,-0.060497,0.885973,3.468327,27.426960,23.648310
0.8946,0.460210,-0.060051,0.885777,3.442755,27.454380,23.455260
0.9088,0.460497,-0.060298,0.885611,3.456945,27.473390,23.286380
0.9191,0.461104,-0.060907,0.885253,3.491875,27.513780,23.220050
0.9284,0.461547,-0.062538,0.884909,3.585499,27.545480,23.348270
0.9395,0.461100,-0.063949,0.885041,3.666498,27.519190,23.581660
0.9532,0.460171,-0.064549,0.885481,3.700962,27.460240,23.825500
0.9678,0.459211,-0.063525,0.886053,3.642170,27.396160,24.037430
0.9844,0.458584,-0.062615,0.886442,3.589949,27.353920,24.073670
0.9972,0.458235,-0.060387,0.886777,3.462045,27.327310,24.002480
1.0084,0.458488,-0.057743,0.886823,3.310262,27.339010,23.891360
1.0227,0.458679,-0.054497,0.886929,3.123984,27.345930,23.786830
1.0362,0.458596,-0.052828,0.887073,3.028225,27.337890,23.783160
1.0508,0.458570,-0.051298,0.887177,2.940444,27.333830,23.730530
1.0667,0.458442,-0.050090,0.887312,2.871130,27.323780,23.722450
1.0800,0.459833,-0.049388,0.886631,2.830878,27.412610,23.585590
1.0916,0.461919,-0.049722,0.885527,2.850045,27.547950,23.424900
1.1044,0.463361,-0.050819,0.884711,2.912960,27.642950,23.321360
1.1197,0.465245,-0.052364,0.883632,3.001633,27.767460,23.265900
1.1333,0.466328,-0.054636,0.882923,3.131953,27.841390,23.284910
1.1483,0.466871,-0.056882,0.882494,3.260876,27.880450,23.281840
1.1621,0.465516,-0.058895,0.883078,3.376404,27.796010,23.352500
1.1765,0.463637,-0.059769,0.884007,3.426546,27.675750,23.467010
1.1898,0.462532,-0.060535,0.884534,3.470506,27.605550,23.495050
1.2033,0.460263,-0.063222,0.885529,3.624759,27.463620,23.308700
1.2177,0.458539,-0.065069,0.886289,3.730827,27.355680,23.144780
